latitude_deg,4.47,9.04,13.6,18.16,22.73,27.29,31.85,36.42,40.98,45.55,50.11,54.67,59.24,63.8,68.36,72.93,77.49,82.05,86.62,91.18,95.75,100.31,104.87,109.44,114,118.56,123.13,127.69,132.25,136.82,141.38,145.95,150.51,155.07,159.64,164.2,168.76,173.33,177.89,182.45,187.02,191.58,196.15,200.71,205.27,209.84,214.4,218.96,223.53,228.09,232.65,237.22,241.78,246.35,250.91,255.47,260.04,264.6,269.16,273.73,278.29,282.85,287.42,291.98,296.55,301.11,305.67,310.24,314.8,319.36,323.93,328.49,333.05,337.62,342.18,346.75,351.31,355.87,360.44,365,,,,
-90,350.4575973,328.7699911,297.6400746,274.725736,257.5696129,243.8767976,232.5864794,223.0655196,214.9037298,207.8207204,201.6154571,196.1388127,191.2772249,186.9422825,183.0637766,179.5848717,176.4587438,173.646202,171.1139942,168.8335908,166.7803029,164.9326324,163.2717799,161.781288,160.4466794,159.2553168,158.1961064,157.2592692,156.4366026,155.7204844,155.105118,154.584724,154.1550869,153.8130648,153.5539461,153.3767802,153.2825649,153.2681204,153.3293048,153.4638431,153.6703203,153.9524632,154.3441583,154.8734761,155.5478615,156.3445804,157.2419863,158.238976,159.3382899,160.543026,161.8595375,163.297085,164.8643205,166.5683625,168.4184468,170.4267517,172.6070434,174.9744611,177.5458714,180.340607,183.3809006,186.6917875,190.3014849,194.2417047,198.5481576,203.2609058,208.423998,214.0854266,220.2961981,227.1083749,234.5715665,242.7248113,251.5843721,261.1226516,285.5822895,313.6689665,335.0242267,349.9979578,358.6453743,359.7900112,,,,
-84.26084761,350.257926,330.1994814,303.5425284,279.4131175,261.1073369,246.6435051,234.8260382,224.9335075,216.5056228,209.2299921,202.8845256,197.3060085,192.3711923,187.9848094,184.0716245,180.5710165,177.4332535,174.6168844,172.0868941,169.8133823,167.7706041,165.9362571,164.2909416,162.8177846,161.5020353,160.3307334,159.2928682,158.3784593,157.579375,156.8880258,156.2988644,155.8055673,155.4055555,155.0939587,154.8664751,154.7254902,154.6693419,154.693439,154.7948982,154.9714904,155.2218745,155.5466158,155.9562407,156.4673286,157.0896313,157.8210929,158.6533167,159.5847086,160.6186966,161.7598492,163.0155698,164.3949965,165.9041123,167.5491688,169.3413711,171.2925803,173.4154807,175.7248994,178.2378007,180.9736035,183.9540531,187.2038216,190.7509822,194.6271078,198.8678139,203.5129313,208.6064001,214.196204,220.3334812,227.0705747,234.4575752,242.5343366,251.3183588,260.7838294,284.4318163,312.7028132,334.2050436,349.2645978,357.9804841,359.2377274,,,,
-81.88021246,350.255055,331.7125278,307.0446944,282.6517047,263.5237632,248.5252532,236.3460343,226.2007045,217.5929824,210.1877837,203.7483768,198.1018508,193.1183326,188.6978855,184.7618539,181.2470518,178.1017855,175.283087,172.7547647,170.4860102,168.4503835,166.6250553,164.9902318,163.5287642,162.2257686,161.0680476,160.0445853,159.1454917,158.3623181,157.6880466,157.1165652,156.6419948,156.2623152,155.9713044,155.7639944,155.6397485,155.5977525,155.6345522,155.7475212,155.9349438,156.1957374,156.5300017,156.9433505,157.4473178,158.0513057,158.7575001,159.5623,160.4646916,161.4678752,162.5765277,163.797159,165.1381939,166.607567,168.2134381,169.9674155,171.880193,173.9644873,176.2351077,178.7089876,181.4052236,184.345424,187.5541088,191.0592052,194.8921608,199.0884725,203.6878375,208.7341037,214.2752244,220.3623937,227.0481158,234.3827814,242.4067645,251.1383923,260.5530817,283.6555492,312.0493089,333.6407796,348.7530982,357.5195677,358.8782672,,,,
-80.05115779,350.3909331,333.1983158,309.9089871,285.630983,265.7423555,250.2473462,237.7347098,227.3579826,218.58648,211.0637092,204.5393174,198.8314398,193.8041142,189.353126,185.3966889,181.8692777,178.7174152,175.89676,173.3700604,171.1056938,169.0766018,167.2594879,165.6342067,164.1833578,162.8919624,161.746641,160.7362646,159.8512148,159.0825274,158.4240187,157.868616,157.4093461,157.0428894,156.764101,156.5679251,156.4526248,156.4174221,156.45974,156.5771817,156.768315,157.0322948,157.3691326,157.782395,158.2806694,158.8725673,159.5619628,160.3478539,161.2299742,162.2113615,163.2967193,164.4921366,165.8054549,167.2449724,168.8193625,170.539581,172.4174979,174.4670276,176.7028584,179.1414862,181.8020018,184.7058931,187.8774762,191.344573,195.1385086,199.2946456,203.8525594,208.8560115,214.3529154,220.3944999,227.0334023,234.3202736,242.2959492,250.9795099,260.3475102,282.9622236,311.4666284,333.1327341,348.2905865,357.1078063,358.5812524,,,,
-78.5072358,350.6773502,334.6345835,312.428784,288.4204758,267.8945253,251.913165,239.0759333,228.4753345,219.5460754,211.910417,205.3046447,199.538164,194.4690995,189.9890927,186.0133305,182.4740311,179.3160034,176.4935906,173.9685298,171.7084254,169.6856357,167.8764271,166.2603214,164.8196746,163.5394233,162.4060756,161.4082745,160.536813,159.7818882,159.135757,158.5917207,158.1426187,157.7844937,157.512865,157.3228863,157.2122504,157.1800568,157.2243062,157.3428482,157.5344194,157.7983625,158.1347107,158.5459715,159.0388272,159.6210461,160.2972781,161.0681291,161.9340317,162.8979539,163.96459,165.1397968,166.4310023,167.846503,169.3952019,171.0876411,172.9358397,174.953634,177.156256,179.5611358,182.1878639,185.0570721,188.1932618,191.6241109,195.3808185,199.498583,204.016885,208.9793879,214.4339619,220.4318615,227.0258424,234.2667969,242.1960005,250.8332626,260.1562517,282.3127252,310.9223994,332.6549547,347.8553228,356.7268806,358.3344965,,,,
-77.14528575,351.0807212,336.0171868,314.716081,291.0416399,270.0245511,253.5573866,240.3978143,229.5762114,220.4918466,212.7455239,206.0601727,200.2365188,195.1268285,190.6186468,186.6241754,183.0734118,179.9094834,177.0854478,174.562057,172.3061656,170.28957,168.4881212,166.8810176,165.450377,164.1810425,163.0594877,162.0738606,161.2134904,160.4687784,159.8314073,159.2948951,158.8522272,158.4990414,158.2312598,158.0443226,157.9356054,157.9040543,157.9480461,158.0656687,158.2557749,158.5178493,158.8519805,159.2600689,159.7474906,160.3212273,160.9862752,161.7443036,162.5963498,163.5453796,164.5960617,165.7541087,167.026651,168.4218735,169.9487675,171.617611,173.4403322,175.4306078,177.6037113,179.9770837,182.5706146,185.4061704,188.5079968,191.9036362,195.6240686,199.7044848,204.1842063,209.1068019,214.520096,220.4753626,227.0254656,234.2215291,242.1052597,250.6971887,259.9760983,281.695302,310.406785,332.1998717,347.4414988,356.372907,358.1388929,,,,
-75.91242262,351.5607503,337.3469879,316.8285356,293.5127584,272.1535825,255.1960674,241.713342,230.6714374,221.4330517,213.5771466,206.8131816,200.933172,195.7835247,191.2476947,187.2349114,183.6729659,180.5033205,177.6777632,175.1560773,172.9043818,170.893925,169.1001629,167.5019767,166.0812477,164.8226878,163.711415,162.7352255,161.8829956,161.1453486,160.5137598,159.981846,159.5428395,159.1921179,158.9258441,158.7397456,158.6310242,158.5984778,158.640727,158.7560757,158.9434683,159.2024944,159.5333039,159.9374303,160.4193172,160.985247,161.6403317,162.386971,163.2267104,164.1625572,165.1991488,166.3420987,167.5983177,168.9758485,170.483692,172.1319424,173.9323738,175.8984839,178.0454533,180.3905827,182.9536293,185.7567093,188.8247019,192.1856657,195.8706707,199.9143216,204.3561652,209.2395272,214.6122212,220.5255377,227.0324328,234.1842641,242.0231636,250.5703886,259.8058459,281.1055282,309.9159123,331.7647578,347.0474976,356.045902,357.9993837,,,,
-74.77724297,352.0902829,338.6264172,318.8010406,295.8501654,274.2718241,256.8381523,243.0297303,231.7670095,222.3748123,214.4097702,207.5676913,201.6318029,196.4426194,191.8794898,187.8486683,184.2757424,181.1005157,178.2735166,175.7535696,173.5060681,171.501721,169.71561,168.1263039,166.7149877,165.4651704,164.3616946,163.3922448,162.5455382,161.8123585,161.1841506,160.6545638,160.2170909,159.86695,159.6004421,159.4135555,159.3034059,159.2686583,159.3080898,159.4201923,159.6039889,159.8591473,160.1858737,160.5854726,161.0617033,161.620238,162.2661741,163.0024223,163.8309507,164.7548332,165.7786763,166.90802,168.1496074,169.5113378,171.0021765,172.6320778,174.4126528,176.357218,178.4808141,180.8005616,183.3360108,186.109222,189.1450988,192.472019,196.1216833,200.1293853,204.5336909,209.378334,214.7109313,220.5827729,227.0469415,234.1550178,241.9495516,250.4525402,259.6450339,280.5417645,309.448143,331.3487115,346.6733081,355.7474884,357.9231102,,,,
-73.7192938,352.6513027,339.8583466,320.656973,298.0680883,276.3630811,258.4892998,244.3515215,232.866689,223.3203332,215.2461983,208.3262125,202.3347076,197.1062528,192.5160595,188.4673942,184.8836364,181.7029323,178.8745555,176.3563789,174.1130775,172.114825,170.336349,168.7549294,167.3509791,166.1075731,165.0095129,164.0444272,163.2010153,162.4701673,161.8433865,161.3143208,160.8767031,160.5256626,160.2575738,160.0686499,159.9559761,159.918102,159.9539023,160.0620285,160.2415745,160.4922663,160.8143579,161.2090083,161.6794639,162.2308686,162.8682303,163.5948185,164.4129514,165.3257821,166.3378896,167.4547553,168.6829913,170.0303616,171.5057708,173.1190582,174.8816799,176.8067774,178.9092346,181.2059839,183.716353,186.4622426,189.4684363,192.7632261,196.3784817,200.3500823,204.7175167,209.5237676,214.8166085,220.647389,227.0692187,234.1338999,241.884444,250.3435829,259.4935399,280.003665,309.0028617,330.9516874,346.3197068,355.4801883,357.9165293,,,,
