latitude_deg,4.47,9.04,13.6,18.16,22.73,27.29,31.85,36.42,40.98,45.55,50.11,54.67,59.24,63.8,68.36,72.93,77.49,82.05,86.62,91.18,95.75,100.31,104.87,109.44,114,118.56,123.13,127.69,132.25,136.82,141.38,145.95,150.51,155.07,159.64,164.2,168.76,173.33,177.89,182.45,187.02,191.58,196.15,200.71,205.27,209.84,214.4,218.96,223.53,228.09,232.65,237.22,241.78,246.35,250.91,255.47,260.04,264.6,269.16,273.73,278.29,282.85,287.42,291.98,296.55,301.11,305.67,310.24,314.8,319.36,323.93,328.49,333.05,337.62,342.18,346.75,351.31,355.87,360.44,365,,
-90,349.8370623,332.1077235,304.7309626,283.4279588,267.1837249,254.0448725,243.0833828,233.7483611,225.6738814,218.6024346,212.3478569,206.7719714,201.7696609,197.2592128,193.1759142,189.4676264,186.0916584,183.0125285,180.2003344,177.6295628,175.2782127,173.1271463,171.1596044,169.360839,167.717816,166.2190338,164.8543035,163.6146199,162.4920938,161.4796505,160.57147,159.7619843,159.046892,158.4228555,157.8854123,157.432842,157.0654975,156.7806437,156.5743709,156.4439661,156.3878505,156.4123381,156.536776,156.7902994,157.1869953,157.705433,158.3250785,159.0434791,159.8631995,160.786817,161.8190695,162.9680397,164.2418673,165.6475356,167.1929734,168.889403,170.7501524,172.7895871,175.0238283,177.4715666,180.154314,183.0966897,186.3268203,189.8766091,193.7824042,198.0853898,202.8319356,208.0736992,213.8671465,220.2723024,227.3496508,235.1539698,243.723808,253.0606746,263.0991211,289.7370361,316.0386206,336.5322063,350.0782989,355.3037519,,
-84.26084761,349.4772253,333.0566125,309.7841018,287.7366805,270.5543966,256.7366286,245.2931868,235.6112865,227.2805131,220.0164014,213.6159634,207.9296304,202.8442291,198.272197,194.1444543,190.4055071,187.0100264,183.9204182,181.1050705,178.5370802,176.1933196,174.0537434,172.1008715,170.3194038,168.6958833,167.2184305,165.8767759,164.6615897,163.5650787,162.5800108,161.7008693,160.9214229,160.2389279,159.6485819,159.1457614,158.7326108,158.4068854,158.1641466,158.0013062,157.9161297,157.9069182,157.9747029,158.1254108,158.3711726,158.7239445,159.1842273,159.744621,160.4028783,161.1618972,162.0258506,163.0010508,164.0957868,165.3156975,166.6661447,168.1570715,169.8003349,171.6075058,173.5925665,175.772057,178.1644442,180.790905,183.6756898,186.8467957,190.3358433,194.1788875,198.4169072,203.0960774,208.267893,213.9886807,220.3184859,227.3180305,235.0425891,243.5315829,252.7879872,262.7440151,288.6733689,315.064431,335.6647618,349.3099939,354.6568451,,
-81.88021246,349.3458215,334.2565725,312.8201739,290.7216636,272.852665,258.5621141,246.7897333,236.8727271,228.3688268,220.9751845,214.4771718,208.7173205,203.5769032,198.9643464,194.80758,191.0488211,187.6409462,184.5449309,181.7280119,179.1623573,176.8240915,174.692571,172.749842,170.9802436,169.3700808,167.9072006,166.5812607,165.3828583,164.3040094,163.3378368,162.4783856,161.7197423,161.0596705,160.4921203,160.0118437,159.6177198,159.308534,159.0808115,158.9317347,158.8594837,158.8626962,158.9415166,159.0990279,159.3426635,159.6818333,160.1208769,160.6573488,161.2899004,162.0211354,162.855306,163.79809,164.8571336,166.0398134,167.3536795,168.808827,170.4163569,172.1871897,174.1361009,176.2790593,178.6342712,181.2228737,184.0690485,187.2004816,190.6485794,194.4492926,198.6434345,203.2770138,208.401361,214.0727205,220.3511399,227.2974515,234.9672355,243.4004973,252.6011995,262.5029723,287.9504533,314.4020451,335.0692516,348.7816429,354.2292071,,
-80.05115779,349.3534798,335.4832073,315.3251678,293.4648584,274.9588469,260.2289361,248.1548672,238.0231632,229.3616416,221.8505299,215.2643752,209.4383703,204.2486526,199.5999567,195.4174621,191.6412866,188.2226656,185.1212711,182.3032957,179.7400695,177.4070475,175.2830525,173.3497084,171.5910291,169.9931365,168.5436497,167.2320679,166.0491277,164.9864007,164.0377066,163.1961851,162.4547652,161.8099651,161.2566093,160.7895262,160.4064387,160.1061446,159.8859722,159.7433703,159.676701,159.684882,159.7678052,159.9273904,160.1687888,160.499559,160.9250678,161.4455175,162.0605267,162.7725522,163.5858168,164.5057415,165.539441,166.6945617,167.9791772,169.4030692,170.9778363,172.7160388,174.6326598,176.7425454,179.0642212,181.6187175,184.430074,187.5256443,190.9367588,194.6992076,198.8536434,203.4459198,208.5272191,214.153698,220.3853902,227.2832201,234.9030337,243.2853608,252.4350728,262.287301,287.3033387,313.8103139,334.5351871,348.3102642,353.8670269,,
-78.5072358,349.5116482,336.6940017,317.5439624,296.0261485,276.9978528,261.8380819,249.4716825,239.1325952,230.3192869,222.695463,216.0250317,210.1359917,204.8994702,200.2166122,196.0099258,192.2174951,188.7889695,185.6827659,182.8640753,180.3034285,177.975646,175.8590485,173.9348601,172.1867825,170.6007789,169.1643008,167.866573,166.6986649,165.6513013,164.7167358,163.88835,163.1589614,162.5244098,161.9800924,161.5210994,161.1446125,160.849263,160.6328947,160.4932348,160.4287513,160.4385524,160.5224739,160.6818573,160.9205311,161.244706,161.659905,162.1678718,162.769085,163.4659797,164.2627203,165.1645961,166.1783597,167.3116146,168.5726328,169.9710061,171.5181667,173.2269545,175.1123506,177.1907701,179.4805962,182.0026534,184.7806936,187.8421357,191.2179856,194.9439217,199.0604506,203.6132681,208.6534146,214.2369544,220.4239,227.2752589,234.8471286,243.1805397,252.2812521,262.0858962,286.6970139,313.2573677,334.0353521,347.8734494,353.5549616,,
-77.14528575,349.790809,337.8758029,319.5690267,298.4268846,279.0114697,263.4234912,250.7680842,240.2244943,231.2619857,223.5277561,216.7750427,210.8246572,205.5427425,200.8268836,196.5969433,192.7889958,189.3511272,186.2405219,183.4213905,180.8634854,178.5410133,176.4318144,174.5167259,172.7791443,171.2048738,169.7812808,168.4970095,167.3416924,166.3061325,165.3820388,164.562915,163.8417523,163.2139696,162.6752967,162.2211271,161.8483732,161.5554821,161.3406161,161.2017581,161.1374635,161.1469647,161.2301105,161.3879278,161.6234093,161.9417624,162.3483445,162.8458239,163.4353942,164.1195493,164.9023934,165.7891306,166.7862642,167.9012729,169.1424795,170.5193579,172.0431054,173.7265323,175.5844262,177.6333947,179.8922109,182.3825992,185.1285742,188.1566458,191.4982067,195.1886524,199.2682958,203.782699,208.7827662,214.324466,220.4677801,227.2737997,234.7988655,243.0845008,252.1373537,261.8955743,286.1212186,312.7337551,333.5620693,347.465926,353.2930964,,
-75.91242262,350.1522799,339.0241817,321.4476779,300.6860999,281.0196628,265.0009306,252.0569926,241.3096988,232.1990736,224.3556133,217.5217487,211.5110468,206.1846469,201.4365693,197.1840333,193.3611079,189.9143244,186.7996448,183.9803114,181.4253101,179.1082484,177.0065049,175.1005385,173.3734453,171.8108423,170.3986611,169.1251572,167.9794794,166.9525557,166.0359156,165.223086,164.50731,163.8837447,163.348305,162.8966684,162.5256245,162.2334558,162.0185173,161.879011,161.8135765,161.8215279,161.9027488,162.0580868,162.2899782,162.6028688,163.0018314,163.4900876,164.069408,164.7423905,165.5130876,166.386638,167.3693665,168.4686133,169.6926774,171.0509442,172.5543962,174.2157097,176.0494692,178.0722122,180.3027022,182.7626548,185.4766955,188.4723881,191.7802792,195.4358455,199.4792884,203.9559753,208.9166742,214.4172555,220.5176792,227.2791082,234.7581296,242.9967569,252.0025382,261.7151802,285.5722561,312.2359416,333.1128428,347.0870778,353.0863436,,
-74.77724297,350.569457,340.1380432,323.2085073,302.8205688,283.0120938,266.5792214,253.3455929,242.3942128,233.1357216,225.1835797,218.2692178,212.1988639,206.8286087,202.048884,197.7742538,193.9367769,190.4814296,187.362956,184.5436365,181.9916984,179.6801583,177.5859544,175.6891742,173.9721556,172.4192422,171.0160325,169.7506073,168.6119421,167.5910328,166.6794011,165.8705485,165.1579699,164.5366676,164.0026533,163.5518491,163.1810059,162.8882691,162.6721065,162.5309003,162.463373,162.4688946,162.5473873,162.6995924,162.9275636,163.235159,163.6271321,164.1070256,164.6770664,165.3399775,166.0997727,166.9615338,167.9314534,169.0167395,170.2256309,171.5674343,173.0529496,174.6946858,176.5070286,178.5063643,180.711334,183.1434665,185.8273353,188.7909306,192.0656885,195.6869339,199.6946506,204.1340995,209.0559718,214.5159775,220.5740505,227.291449,234.7249944,242.9172002,251.8765333,261.5443056,285.0488938,311.7626112,332.6871652,346.7382084,352.9422878,,
-73.7192938,351.0243788,341.2177301,324.8706967,304.8445972,284.9733792,268.1639587,254.6384089,243.4818002,234.0751705,226.0145047,219.0200019,212.8904332,207.4767798,202.6658475,198.3695261,194.5178521,191.0542427,187.9322238,185.1131178,182.5643982,180.2584943,178.1719276,176.283437,174.5745128,173.0290006,171.6324025,170.3726778,169.2387779,168.2217194,167.3130964,166.5063679,165.7952505,165.174665,164.6406681,164.1893823,163.8175692,163.5232642,163.3049963,163.1612922,163.0909542,163.0933935,163.1685664,163.3171498,163.5409279,163.8432988,164.2286997,164.7008448,165.2623166,165.9159692,166.6657903,167.5168101,168.4751184,169.5478044,170.743029,172.0700233,173.5394327,175.1635943,176.9567029,178.9349678,181.1168657,183.5236957,186.1798367,189.1132358,192.355512,195.9427369,199.9151613,204.3178659,209.2012203,214.6210908,220.6372637,227.3110755,234.6996148,242.8458917,251.7593223,261.3828815,284.5510213,311.3134717,332.2854975,346.4216942,352.8683507,,
